Character	Alternate Names		Page	Role	Gender	Friendly															Hostile																	
Chapter 1 -- Pillow Talk																																						
Ailill Mac Mágach				"King of Connacht in Cruachan, a son of Rus Ruad"	M	Medb	Rus Ruad	Finnbennach Ai	Mata Muiresc	Finn 2	Coirpre Niafer	Mac Roth																										
Darius				"King of the Romans who was said to have been given a feathery mantle by Simon Magus, Darius then gave it ti Conchobor"	M	Simon Magus	Conchobor																															
Conchobor					M	Darius	Cúchulainn																															
Chapter 10 -- Combat with Fergus and others																																						
Cúchulainn					M	Fergus Mac Roich				Fiacha Mac Fir Febe											Ferchu Loingseach	Gaile Dána	Glas Mac Delga															
Medb					F	Cúchulainn	Léthren	Fergus Mac Roich	Dubthach	Ailill Mac Mágach	Gabrán	Ferchu Loingseach																										
Ailill Mac Mágach					M	Léthren	Dubthach	Medb	Cúchulainn	Gabrán	Ferchu Loingseach																											
Léthren				Ailill's groom		Medb	Ailill Mac Mágach		Dubthach	Fergus Mac Roich	Gabrán																											
Fergus Mac Roich					M	Medb	Dubthach	Ailill Mac Mágach	Léthren	Cúchulainn	Conchobor	Fiacha Mac Conchoboir	Coirpre Mac Feidlimid	Gabrán	Fiacha Mac Fir Febe																							
Dubthach					M	Fergus Mac Roich		Medb	Ailill Mac Mágach	Léthren	Gabrán	Fiacha Fialdána	Maine Andoe	Dóchae Mac Mágach							Coirpre Mac Feidlimid	Fiacha Mac Conchoboir	Dóchae Mac Mágach															
Fiacha Mac Conchoboir				Son of Conchobor who Dubthach slew (probably during the exile of the Sons of Usna)	M	Fergus Mac Roich	Conchobor														Dubthach																	
Coirpre Mac Feidlimid				Someone Dubthach slew (probably during the exile of the Sons of Usna) which Fergus was annoyed at him for	M	Fergus Mac Roich															Dubthach																	
Gabrán						Cúchulainn	Medb	Ailill Mac Mágach	Léthren	Fergus Mac Roich	Dubthach																											
Fiacha Fialdána				Cousin of Maine Andoe (so cousin of all 7 Maine)	M	Maine Andoe	Medb	Ailill Mac Mágach	Dóchae Mac Mágach	Dubthach											Dóchae Mac Mágach	Maine Andoe																
Maine Andoe					M	Fiacha Fialdána	Dóchae Mac Mágach	Dubthach													Dóchae Mac Mágach																	
Dóchae Mac Mágach	Dóchae				M	Fiacha Fialdána	Maine Andoe	Dubthach													Dubthach	Fiacha Fialdána																
Diarmait				"Conchobor's son, after Ulster rose from it's pangs he came south to meet one of the Maine, they killed eachother with javelins"	M	Conchobor	Maine 2			Dubthach											Maine 2																	
Conchobor					M	Fiacha Mac Conchoboir	Diarmait																															
Maine 2					M	Medb	Ailill Mac Mágach	Diarmait													Diarmait																	
Aengus				"Son of Aenlám Gaibe, an Ulster warrior refused to let the Connacht army pass at Muig Loga until he was overwhelmed"	M	Aenlám Gaibe																																
Aenlám Gaibe																																						
Ferchu Loingseach				"A Connacht warrior who was forever harassing Ailill and Medb and pillaging and plundering around their borders, he thought if he killed Cúchulainn he would be forgiven so attacked him with some of his men, Cúchulainn cut all twleve of their heads off"	M	Medb	Ailill Mac Mágach														Cúchulainn																	
Gaile Dána				"He had 27 sons, Medb sent them with his sister's son to kill Cúchulainn, their spears were poisoned but none of them drew blood from Cúchulainn, Fiacha Mac Fir Febe arrived and cut off all 29 of their hands to aid Cúchulainn"	M	Medb	Ailill Mac Mágach	Glas Mac Delga													Cúchulainn	Fiacha Mac Fir Febe																
Glas Mac Delga				"Nephew of Gaile Dána, he went with Gaile and his 27 sons to fight Cúchulainn. Fiacha Mac Fir Febe came to Cúchulainn's aid cutting off all 29 of their hands"	M	Gaile Dána															Cúchulainn	Fiacha Mac Fir Febe																
Fiacha Mac Fir Febe					M	Fergus Mac Roich	Cúchulainn														Gaile Dána	Glas Mac Delga																
Ficce				An Ulster man who had two sons who aided Cúchulainn track down and kill Gaile Dána and his 27 sons and nephew after Fiacha Mac Fir Febe cut of their hands	M																																	
Chapter 11 -- Combat of Ferdia and Cúchulainn																																						
Cúchulainn					M	Laeg	Fergus Mac Roich	Ferdia	Damán Mac Dáiri	Badb	Conchobor	Emer	Ferbaeth	Scáthach	Uathach	Aife	Lugaid	Conall Cernach	Connla	Banba	Ferdia	Germán Garblas	Ferbaeth	Srúbdaire	Rinn Mac Niuil													
Medb					F	Ferdia	Ailill Mac Mágach	Finnabair	Cúchulainn	Niaman	Morann 2	Coirpre nia Manann																										
Ailill Mac Mágach					M	Medb	Ferdia	Finnabair	Cúchulainn																													
Ferdia	Ferdia Mac Damáin			"Cúchulainn's foster-brother, the only feat he lacked that Cúchulainn had was the gae bolga. Cúchulainn calls him 'Squinter'"	M	Medb	Ailill Mac Mágach	Finnabair	Cúchulainn	Lugaid	Damán Mac Dáiri	Badb	Ferbaeth	Scáthach	Uathach	Aife					Cúchulainn	Germán Garblas	Ruad Mac Forniuil	Dam Dreimend	Dan Dílenn													
Finnabair					F	Medb	Ailill Mac Mágach	Ferdia	Cúchulainn																													
Niaman				"The Slaughterer, before Ferdia would fight Cúchulainn he wanted to test his strenght on 6 Connacht heroes, Medb suggested Niaman as one"	M	Medb																																
Morann 2				"Before Ferdia would fight Cúchulainn he wanted to test his strenght on 6 Connacht heroes, Medb suggested Morann as one"	M	Medb																																
Coirpre nia Manann				"Before Ferdia would fight Cúchulainn he wanted to test his strenght on 6 Connacht heroes, Medb suggested Coirpre as one"	M	Medb																																
Fergus Mac Roich					M	Ferdia	Cúchulainn																															
Damán Mac Dáiri				Ferdia's father	M	Ferdia	Cúchulainn																															
Laeg					M	Cúchulainn	Emer	Ferdia																														
Emer					F	Cúchulainn	Laeg																															
Badb 1					F	Ferdia	Cúchulainn																															
Germán Garblas				A warrior (monster) Cúchulainn and Ferdia fought together while they were with Scáthach		Rinn Mac Niuil	Ruad Mac Forniuil	Bláth Mac Colbaí	Mugairne	Dam Dreimend	Dan Dílenn										Ferdia	Cúchulainn	Scáthach															
Scáthach					F	Ferdia	Cúchulainn	Uathach	Aife												Germán Garblas																	
Uathach					F	Ferdia	Cúchulainn	Scáthach	Aife																													
Aife					F	Ferdia	Cúchulainn	Uathach	Scáthach																													
Ferbaeth					M	Cúchulainn	Ferdia	Lugaid													Cúchulainn	Bláth Mac Colbaí																
Srúbdaire				Someone Cúchulainn mentions he killed in single combat (possibly Srúbgaile Mac Eobith??)	M																Cúchulainn																	
Rinn Mac Niuil				A warrior Cúchulainn killed when he and Ferdia along with Ferbaeth and Lugaid attacked Germán Garblas' fort	M	Germán Garblas	Ruad Mac Forniuil	Bláth Mac Colbaí	Mugairne	Dam Dreimend	Dan Dílenn										Cúchulainn																	
Ruad Mac Forniuil				A warrior Ferdia killed when he and Cúchulainn along with Ferbaeth and Lugaid attacked Germán Garblas' fort	M	Germán Garblas	Rinn Mac Niuil	Bláth Mac Colbaí	Mugairne	Dam Dreimend	Dan Dílenn										Ferdia																	
Bláth Mac Colbaí				"A warrior Ferbaeth killed when he attacked Germán Garblas' fort with Cúchulainn, Ferdia and Lugaid"	M	Germán Garblas	Rinn Mac Niuil	Ruad Mac Forniuil	Mugairne	Dam Dreimend	Dan Dílenn										Ferbaeth																	
Mugairne				"A warrior Lugaid killed when he attacked Germán Garblas' fort with Cúchulainn, Ferdia and Ferbaeth"		Germán Garblas	Rinn Mac Niuil	Ruad Mac Forniuil	Bláth Mac Colbaí	Dam Dreimend	Dan Dílenn										Lugaid																	
Dam Dreimend				A warrior Ferdia killed when he and Cúchulainn along with Ferbaeth and Lugaid attacked Germán Garblas' fort		Germán Garblas	Rinn Mac Niuil	Ruad Mac Forniuil	Bláth Mac Colbaí	Mugairne	Dan Dílenn										Ferdia																	
Dan Dílenn				A warrior Ferdia killed when he and Cúchulainn along with Ferbaeth and Lugaid attacked Germán Garblas' fort		Germán Garblas	Rinn Mac Niuil	Ruad Mac Forniuil	Bláth Mac Colbaí	Mugairne	Dam Dreimend										Ferdia																	
Lugaid				Probably Lugaid Mac Nois though I'm not sure he was with Cúchulainn while he was with Scáthach	M	Cúchulainn	Ferdia	Ferbaeth																														
Banba					F	Cúchulainn																																
Chapter 12 -- Ulster rises from its pangs																																						
Senoll Uathach				"The Hideous, he and the two sons of Ficce brought Cúchulainn back to Conaille to nurse his wounds after his fight with Ferdia"		Ficce	Cúchulainn																															
Ficce				"Had two sons who, with Senoll Uathach, brought Cúchulainn back to Conaille to nurse his wounds after his fight with Ferdia"	M	Senoll Uathach	Cúchulainn																															
Cúchulainn					M	Senoll Uathach	Ficce	Cethern	Laeg	Fiacha Mac Fir Febe	Fingin		Medb	Illann	Oll	Oichne	Bun	Mecon	Braen																			
Cúchulainn					M	Láréne	Cúroi Mac Dáiri	Scenb	Rann	Fodail	Cormac 5	Cormac 6	Mael Foga	Maine 2	Finn Bec	Munremur Mac Gerrcinn	Sualdam																					
Mac Roth					M		Ailill Mac Mágach	Fergus Mac Roich																														
Ailill Mac Mágach					M	Conchobor	Celtchar	Fergus Mac Roich	Mac Roth	Itholl	Fintan	Crimthann		Rochad Mac Faithemain	Finnabair	Oll	Oichne	Bun	Mecon																			
Ailill Mac Mágach					M	Scenb	Rann	Fodail	Cormac Connlongas																													
Fergus Mac Roich					M	Cethern	Ailill Mac Mágach	Mac Roth	Fintan	Illann	Rochad Mac Faithemain	Medb	Sualdam																									
Cethern				"So of Fintan. An Ulster warrior who charged the Connacht army on his own after Ulster rose from its pangs, he suffered grievous wounds and killed healers that told him he wouldn't survive. Fingin, Conchobor's healer, gave him the option to treat him for a whole year or in three days and three nights get his strength enough to fight one last time, he chose the second."	M	Fintan	Cúchulainn	Fingin	Finn Bec	Itholl	Crimthann				Finn Bec	Crimthann	Fergus Mac Roich	Itholl			Medb	Illann	Oll	Oichne	Bun	Mecon	Braen	Láréne		Scenb	Rann	Fodail	Cormac 5	Cormac 6	Maine Athramail	Maine Máthramail	Maine Cotagaib Uli	Itholl
Fintan				"Cethern's father, he came to avenge Cethren with 150 men, only he and his son Crimthann survived"	M	Cethern	Crimthann	Ailill Mac Mágach	Conchobor																													
Laeg					M	Cúchulainn	Fiacha Mac Fir Febe	Cethern	Rochad Mac Faithemain																													
Fiacha Mac Fir Febe					M	Laeg	Cethern																															
Fingin				Conchobor's healer	M	Conchobor	Cúchulainn	Cethern	Braen	Láréne																												
Medb					F		Finnabair	Conchobor	Rochad Mac Faithemain	Fergus Mac Roich	Oll	Oichne	Scenb	Rann	Fodail						Cethern																	
Illann				Fergus Mac Roich's son	M		Fergus Mac Roich														Cethern																	
Oll				One of Ailill and Medb's foster sons who wounded Cethern with Oichne	M	Ailill Mac Mágach	Medb	Oichne													Cethern																	
Oichne				One of Ailill and Medb's foster sons who wounded Cethern with Oll	M	Ailill Mac Mágach	Medb	Oll													Cethern																	
Bun				"Trunk, one of the king's (Ailill) most trusted people who wounded Cethern with Mecon"	M	Ailill Mac Mágach	Mecon														Cethern																	
Mecon				"Root, one of the king's (Ailill) most trusted people who wounded Cethern with Bun"	M	Ailill Mac Mágach	Bun														Cethern																	
Braen				"Braen and Láréne, ""two sons of three lights"", the two sons of the forest king were two warriors of Medb's household, they wounded Cethern"	M	Medb	Láréne														Cethern																	
Láréne				"Braen and Láréne, ""two sons of three lights"", the two sons of the forest king were two warriors of Medb's household, they wounded Cethern"	M	Medb	Braen														Cethern																	
Cúroi Mac Dáiri	Cú Roí			"Three of his people, 'the three scabbards of Banba' wounded Cethern"	M		Munremur Mac Gerrcinn																															
Scenb				"Carver, one of Ailill and Medb's stewards who wounded Cethern with Rann and Fodail"	M	Ailill Mac Mágach	Medb	Rann	Fodail												Cethern																	
Rann				"Divider, one of Ailill and Medb's stewards who wounded Cethern with Scenb and Fodail"	M	Ailill Mac Mágach	Medb	Fodail	Scenb												Cethern																	
Fodail				"Server, one of Ailill and Medb's stewards who wounded Cethern with Rann and Scenb"	M	Ailill Mac Mágach	Medb	Scenb	Rann												Cethern																	
Cormac 5				"The king's pillar,"" he wounded Cethern with Cormac the son of Mael Foga	M							Cormac 6														Cethern																																																																																																																	"																																		
Cormac 6				"Son of Mael Foga, he wounded Cethern with Cormac ""the king's pillar"""	M		Cormac 5	Mael Foga													Cethern																	
Mael Foga				Father of Cormac 6	M	Cormac 6																																
Maine Athramail				He wounded Cethren with Maine Máthramail	M																Cethern																	
Maine Máthramail				He wounded Cethren with Maine Athramail	M																Cethern																	
Maine Cotagaib Uli				He wounded Cethren with Ailill	M		Ailill Mac Mágach														Cethern																	
Finn Bec				"Cethern's wife, daughter of Eochaid"	F	Cethern	Cúchulainn	Eochaid 10																														
Eochaid 10					M	Finn Bec																																
Itholl				"A healer who played dead after Cethren killed so many other healers, he went back to warn the Connacht army that Cethren was coming back"	M	Cethern	Ailill Mac Mágach														Cethern																	
Crimthann				"Cethren's brother who went with his father and 150 men to avenge Cethren, only he and Fintan survived"	M	Cethern	Fintan	Ailill Mac Mágach	Conchobor																													
Menn Mac Sálchada				"An Ulster warrior who attacked the Connacht army with 30 men, they killed 12 and lost 12 and Menn was also wounded so he returned to wait for Conchobor to fight the last battle"	M	Conchobor																																
Conchobor					M	Menn Mac Sálchada	Fintan	Fingin	Sualdam	Ailill Mac Mágach	Fergus Mac Roich	Cúchulainn	Finnchad Fer Benn	Erc	Coirpre Niafer	Fedelm Noichride	Celtchar	Cúscraid Menn Macha	Deda	Leaman																		
Conchobor					M	Fallach	Fergus Mac Roich	Illann	Dorlunsa	Derg Imderg	Fedilmid Cilair Chetaig	Faeladán	Rochad Mac Faithemain	Lugaid	Lugda	Cathbad	Coirpre of Aelai	Laeg	Gemen	Senoll Uathach																		
Conchobor					M	Fintan	Cethren	Cethren of Eillne	Aurothor	Mulach	Amargin	Uathach	Ieth	Roth (Ulster)	Fiachna from the mound	Dam Dreimend	Andiaraid	Maine Mac Briathrach	Dam Derg	Mod																		
Conchobor					M	Maithes	Irmaithis	Gabar	Eochaid from Saimne	Eochaid from Latharnu	Uma Mac Remanfisig	Munremur Mac Gerrcinn	Senlobair	Follamain	Lugaid of Laigi Líne	Buadgalach	Ambuach	Fergna	Aine	Errge Echbél																		
Conchobor					M	Abra	Celtchar	Laegaire Milbél	Dromscailt Mac Dregamm	Drenda	Drendas	Cimbe	Cimling	Cimmene	Facthna Mac Sencha	Sencha	Senchairthe	Briccir	Bricirne	Breic																		
Conchobor					M	Buan	Bairech	Aengus Mac Léte	Fergus Mac Léte	Léte	Aengus of the Fir Bolg	Bruchur	Alamiach	Fiachna of Cuailnge	Conall Cernach	Connad Mac Morna	Cúchulainn	Amargin of Es Ruaid	Laeg of Léire	Sálchada																		
Conchobor					M	Cúroi Mac Amargin	Aengus Fer Benn Uma	Ogma Grianainech	Eo Mac nOircne	Tollchenn	Mogol Echbél	Connla Saeb	Laegaire Buadach	Ailill Mac Amargin	Furbaide Fer Benn	Cúscraid Menn	Lí	Fingin	Cremath	Blai Fichit																		
Conchobor					M	Blai Briuga	Eoghan Mac Durthacht	Dord	Seirid	Serthe	Oblan	Cuirther	Liana	Fernel	Finnchad of Sliabh Bethe	Talgobain	Menn Mac Sálchada	Iroll of Blarigi	Tibraide Mac Ailcotha	Iala																		
Conchobor					M	Rus Mac Ailcotha	Maine Mac Cruim	Ninnech Mac Cruinn	Dipsemilid	Mál Mac Rochrad	Muinne (Ulster)	Fiatach Ferndoirre	Dubthach	Muirne Menn																								
Rochad Mac Faithemain				"An Ulster warrior Cúchulainn sent for after Ulster rose from its pangs, Finnabair thought he was the most handsome hero in Ulster and slept with him. After hearing this some of the Munster kings who had been promised Finnabair separately grew angry and Ailill and Medb's army fought amongst themselves killing 700 men. Rochad was returned to Ulster to join Conchobor in the last battle. Finnabair died of shame after hearing 700 men died because of her."	M	Laeg	Finnabair	Fergus Mac Roich																														
Finnabair				Finnabair died of shame after 700 men died because of her (see Rochad)	F	Ailill Mac Mágach	Medb	Rochad Mac Faithemain																														
Ilech				"Father of Connad the Yellow-haired and Laegaire Buadach's grandfather, he went to the Connacht army naked and made a trench of marrow out of Connachtmen's bones. Dóchae cut off his head and gave in to Laegaire"	M	Laegaire	Connad the Yellow-haired														Dóchae																	
Laegaire					M	Connad the Yellow-haired	Ilech	Dóchae																														
Connad the Yellow-haired	Connad Buidi			Son of Ilech and Laegaire Buadach's father	M	Ilech	Laegaire																															
Dóchae					M		Laegaire														Ilech																	
Munremur Mac Gerrcinn				"An Ulster warrior who came to help Cúchulainn as Ulster rose from its pangs, he made an arrangement with Cúroi and they each went back to their homes"	M	Cúchulainn	Cúroi Mac Dáiri																															
Sualdam				"He came to aid Cúchulainn as Ulster rose from its pangs but Cúchulainn did not want him there as if he was killed he would have no strenght to avenge him so he sent him to Emain Macha to warn Ulster of what was happening, he tripped at Emain Macha and the rim of his shield cut his head off, his head still shouted the warning"	M	Cúchulainn	Conchobor	Ailill Mac Mágach	Fergus Mac Roich																													
Finnchad Fer Benn				"The Horned Man, son of Conchobor. Conchobor asked him to summon all the Ulster chieftains"	M	Conchobor	Deda	Leaman	Fallach	Fergus Mac Roich	Illann	Dorlunsa	Derg Imderg	Fedilmid Cilair Chetaig	Faeladán	Rochad Mac Faithemain	Lugaid	Lugda	Cathbad	Coirpre of Aelai																		
Finnchad Fer Benn					M	Laeg	Gemen	Senoll Uathach	Fintan	Cethren	Cethren of Eillne	Aurothor	Mulach	Amargin	Uathach	Ieth	Roth (Ulster)	Fiachna from the mound	Dam Dreimend	Andiaraid																		
Finnchad Fer Benn					M	Maine Mac Briathrach	Dam Derg	Mod	Maithes	Irmaithis	Gabar	Eochaid from Saimne	Eochaid from Latharnu	Uma Mac Remanfisig	Munremur Mac Gerrcinn	Senlobair	Follamain	Lugaid of Laigi Líne	Buadgalach	Ambuach																		
Finnchad Fer Benn					M	Fergna	Aine	Errge Echbél	Abra	Celtchar	Laegaire Milbél	Dromscailt Mac Dregamm	Drenda	Drendas	Cimbe	Cimling	Cimmene	Facthna Mac Sencha	Sencha	Senchairthe																		
Finnchad Fer Benn					M	Briccir	Bricirne	Breic	Buan	Bairech	Aengus Mac Léte	Fergus Mac Léte	Léte	Aengus of the Fir Bolg	Bruchur	Alamiach	Fiachna of Cuailnge	Conall Cernach	Connad Mac Morna	Cúchulainn																		
Finnchad Fer Benn					M	Amargin of Es Ruaid	Laeg of Léire	Sálchada	Cúroi Mac Amargin	Aengus Fer Benn Uma	Ogma Grianainech	Eo Mac nOircne	Tollchenn	Mogol Echbél	Connla Saeb	Laegaire Buadach	Ailill Mac Amargin	Furbaide Fer Benn	Cúscraid Menn	Lí																		
Finnchad Fer Benn					M	Fingin	Cremath	Blai Fichit	Blai Briuga	Eoghan Mac Durthacht	Dord	Seirid	Serthe	Oblan	Cuirther	Liana	Fernel	Finnchad of Sliabh Bethe	Talgobain	Menn Mac Sálchada																		
Finnchad Fer Benn					M	Iroll of Blarigi	Tibraide Mac Ailcotha	Iala	Rus Mac Ailcotha	Maine Mac Cruim	Ninnech Mac Cruinn	Dipsemilid	Mál Mac Rochrad	Muinne (Ulster)	Fiatach Ferndoirre	Dubthach	Muirne Menn																					
Deda				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Leaman				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Fallach	Illann																													
Fallach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Leaman	Illann																													
Fergus Mac Roich				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Illann	Leaman																													
Illann				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Leaman	Fallach																													
Dorlunsa				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Fergus Mac Roich	Leaman	Fallach																												
Derg Imderg				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Fedilmid Cilair Chetaig				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Faeladán				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Rochad Mac Faithemain																														
Rochad Mac Faithemain				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Faeladán																														
Lugaid	Maybe Lugaid 2 (check)			An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Lugda																														
Lugda				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Lugaid																														
Cathbad				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Coirpre of Aelai				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Laeg				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Gemen																														
Gemen				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Laeg																														
Senoll Uathach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Fintan				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Cethren																														
Cethren	Cethern!!!!			An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Fintan																														
Cethren of Eillne				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Aurothor				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Mulach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Amargin				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Uathach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Ieth				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Roth (Ulster)	Fiachna from the mound																													
Roth (Ulster)				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Ieth	Fiachna from the mound																													
Fiachna from the mound				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Ieth	Roth (Ulster)																													
Dam Dreimend				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Andiaraid				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Maine Mac Briathrach																														
Maine Mac Briathrach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Andiaraid																														
Dam Derg				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Mod				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Maithes																														
Maithes				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Mod																														
Irmaithis				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Gabar				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Eochaid from Saimne				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Eochaid from Latharnu																														
Eochaid from Latharnu				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Eochaid from Saimne																														
Uma Mac Remanfisig				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Munremur Mac Gerrcinn				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Muinne (Ulster)																														
Senlobair				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Follamain				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Lugaid of Laigi Líne				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Buadgalach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Ambuach																														
Ambuach				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Buadgalach																														
Fergna				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Aine				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Errge Echbél																														
Errge Echbél				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Aine																														
Abra				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Celtchar				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Laegaire Milbél				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Dromscailt Mac Dregamm				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn																															
Drenda				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Drendas	Cimbe																													
Drendas				An Ulster warrior Conchobor told his son Finnchad to summon after Ulster rose from its pangs and realised Connacht were attacking them	M	Conchobor	Finnchad Fer Benn	Drenda	Cimbe																													
