Character	Alternate Name	Page	Role	Gender	Friendly										Hostile									Familial						
Fergus' Charioteer		198		M	Fergus mac Róich																									
Láeg	Láeg mac Ríangabra	198		M	Cú Chulainn	Fergus mac Róich																								
Emer Fholtchaín		201	Cuchulainn spent night with Emer before fight with Fer Diad	F	Cú Chulainn																									
Fer Diad's Charioteer		202		M	Fer Diad																									
Germán Garbglas		203	Charioteer recites a story of Cuhculainn and Fer Diad fighting German	M											Fer Diad	Cú Chulainn														
"Chapter 45: A description of Cú Chulainn's chariot, one of the three principal chariots in story-telling, on the Foray of Cúailnge"																														
Fer Diad	Fer Diad mac Damáin	204	Cuchulainn's foster brother	M																										
Fer Diad's Charioteer		204		M	Fer Diad																									
Cú Chulainn		204		M											Fer Diad															
Mac Roth		208	Chased after Cuchulainn and Fer Diad during their battle	M	Cú Chulainn	Fer Diad																								
Chapter 46: The Chief Episodes of the Táin																														
																														
Chapter 47: The Hard Fight of Cethern																														
Mac Roth		209	Chased after Cuchulainn and Fer Diad during their battle	M																										
Ailill		209		M	Medb										Cethern															
Fergus mac Róich	Fergus mac Róig	209		M	Ailill										Cethern															
Cethern		209	Son of Fintan	M																				Fintan						
Fintan		209		M																										
Cú Chulainn		209	Cethern came from attacking Ailill's camp to Cuchulainn	M	Cethern																			Conchobar						
Láeg	Láeg mac Ríangabra	209		M	Cú Chulainn	Cethern																								
Fiacha mac Fir Fhebe		209		M	Láeg	Cú Chulainn	Cethern																							
Fíngin		209	Physician	M	Cethern	Conchobar																								
Conchobar		209		M																										
Medb		210		F	Ailill										Cethern															
Illann		210	Son of Fergus	M											Cethern									Fergus mac Róich						
Oll		210	Foster sons of Ailill and Medb	M											Cethern									Ailill	Medb					
Oichne		211	Foster sons of Ailill and Medb	M											Cethern									Ailill	Medb	Oll				
Bun		211	Kings household warriors	M											Cethern															
Mecon		211	Kings household warriors	M											Cethern															
King of Caill		211		M	Bun	Mecon																								
Bróen		211	Warriors of Medb's household	M	Medb										Cethern															
Láiréne		211	Warriors of Medb's household	M	Medb										Cethern															
Three Warriors of Banba		211		M	Cú Raí mac Dáire										Cethern															
Cú Raí mac Dáire		211		M																										
Scenb		211		M	Ailill	Medb									Cethern															
Rand		211		M	Ailill	Medb									Cethern															
Fodail		211		M	Ailill	Medb									Cethern															
Three Fráech Baíscnes		212	Medb's tableservants	M	Medb										Cethern															
Cormac Colomon ind Ríg		212		M											Cethern									Cormac Maíle Ogath						
Cormac Maíle Ogath		212		M											Cethern															
Maine Aithremail		212		M											Cethern									Maine Máithremail						
Maine Máithremail		212		M											Cethern															
Maine Condasgeb Uile		212	Ailill's son	M											Cethern									Ailill						
Chapter 48: The Tooth-Fight of Fintan																														
Fintan		214		M	Ailill																									
Ailill		214		M																										
Cethern		214	Son of Fintan	M	Ailill																			Fintan						
Conchobar		214		M	Fintan																									
Chapter 49: The Red Shame of Mend																														
Mend mac Sálchada		214	Killed his own men	M																										
Chapter 50: The Bloodless Fight of Rochad																														
Rochad Rigderg mac Faithemain		214		M																										
Ailill		214		M	Medb																									
Medb		214		F																										
Finnabair		214	"There was a large-scale battle to take revenge for seven men all being offered Finnabair, she died of shame"	F	Rochad Rigderg mac Faithemain																			Medb	Ailill					
Fergus mac Róich	Fergus mac Róig	209		M	Ailill	Medb																								
Chapter 51: The Humorous Fight of Iliach																														
Lóegaire Búadach		215		M	Dócha mac Mágach																			Iliach						
Connad Buide meic Iliach		215		M																				Lóegaire Búadach	Iliach					
Iliach		215		M											Dócha mac Mágach															
Dócha mac Mágach		215		M																										
Chapter 52: The Missile-throwing of the Charioteers																														
																														
Chapter 53: The Trance of Aimirgin																														
Cú Roí mac Dáire	Cú Raí mac Dáire	216		M	Aimirgin										Cú Chulainn									Conall Cernach						
Cú Chulainn		216	 	M																										
Aimirgin		216		M																										
Conall Cernach		216	Cu Rois son	M																										
Chapter 54: The Repeated Warning of Súaltaim																														
Súaltaim		216		M	Conchobar																			Cú Chulainn						
Cú Chulainn		216		M																				Conchobar						
Conchobar		217		M																										
Fergus mac Róich	Fergus mac Róig	217		M	Ailill	Medb																								
Ailill		217		M	Medb																									
Medb		217		F																										
Chapter 55: The Muster of the Ulstermen																														
Finchad		218		M																										
Conchobar		218		M																										
Findchad		218		M	Conchobar	Finchad																								
Dedad		218		M	Conchobar	Finchad																								
Leamain		218		M	Conchobar	Finchad																								
Fallach		218		M	Conchobar	Finchad																								
Illann mac Fergusa		218		M	Conchobar	Finchad																								
Gabar		218		M	Conchobar	Finchad																								
Dorlunsa		218		M	Conchobar	Finchad																								
Imchlár		218		M	Conchobar	Finchad																								
Feidlimid Cilair Cétaig		218		M	Conchobar	Finchad																								
Fáeladán		218		M	Conchobar	Finchad																								
Rochaid mac Faithemain		218		M	Conchobar	Finchad																								
Lugaid		218		M	Conchobar	Finchad																								
Lugda		218		M	Conchobar	Finchad																								
Cathbath		218		M	Conchobar	Finchad																								
Three Cairpres		218		M	Conchobar	Finchad																								
Aela		218		M	Conchobar	Finchad																								
Láeg		218		M	Conchobar	Finchad																								
Geimen		218		M	Conchobar	Finchad																								
Senoll Úathach		218		M	Conchobar	Finchad																								
Cethern mac Fintain		218		M	Conchobar	Finchad																								
Torathor		218		M	Conchobar	Finchad																								
Mulaig		218		M	Conchobar	Finchad																								
Aimirgin		218		M	Conchobar	Finchad																								
Úlathadach Fodoblaid		218		M	Conchobar	Finchad																								
Mórrigan		218		F	Conchobar	Finchad																								
Ieth		218		M	Conchobar	Finchad																								
Roth		218		M	Conchobar	Finchad																								
Fiachna		218		M	Conchobar	Finchad																								
Dam Dremed		218		M	Conchobar	Finchad																								
Andiaraid		218		M	Conchobar	Finchad																								
Maine mac Braitharge		218		M	Conchobar	Finchad																								
Dam Derg		218		M	Conchobar	Finchad																								
Mod		218		M	Conchobar	Finchad																								
Maithes		218		M	Conchobar	Finchad																								
Irmaithes		218		M	Conchobar	Finchad																								
Corp Cliath		218		M	Conchobar	Finchad																								
Gabarleig		218		M	Conchobar	Finchad																								
Eochaid Sainmech		218		M	Conchobar	Finchad																								
Eochaid Lathach		218		M	Conchobar	Finchad																								
Uma mac Remarbisi		218		M	Conchobar	Finchad																								
Muinremur mac Gerrgind		218		M	Conchobar	Finchad																								
Senlobair		218		M	Conchobar	Finchad																								
Follamain		218		M	Conchobar	Finchad																								
Lugaid rí Fer mBolc		218		M	Conchobar	Finchad																								
Laige Líne		218		M	Conchobar	Finchad																								
Búaidgalach		218		M	Conchobar	Finchad																								
Ambúach		218		M	Conchobar	Finchad																								
Fergna		218		M	Conchobar	Finchad																								
Barrene		218		M	Conchobar	Finchad																								
Áine		218		M	Conchobar	Finchad																								
Errgi Echbél		218		M	Conchobar	Finchad																								
Celtchar mac Cuithechair		218		M	Conchobar	Finchad																								
Láegaire Milbél		218		M	Conchobar	Finchad																								
Three sons of Dromscalt mac Dregamm		218		M	Conchobar	Finchad																								
Drenda		218		M	Conchobar	Finchad																								
Drendas		218		M	Conchobar	Finchad																								
Cimb		218		M	Conchobar	Finchad																								
Cimling		218		M	Conchobar	Finchad																								
Cimmene		218		M	Conchobar	Finchad																								
Fána Caba		218		M	Conchobar	Finchad																								
Fachtna mac Senchath		218		M	Conchobar	Finchad																								
Senchaid at Senchairthe		218		M	Conchobar	Finchad																								
Briccir		218		M	Conchobar	Finchad																								
Bricirne		218		M	Conchobar	Finchad																								
Breic		218		M	Conchobar	Finchad																								
Buan		218		M	Conchobar	Finchad																								
Bairech		218		M	Conchobar	Finchad																								
Óengus mac Leiti		218		M	Conchobar	Finchad																								
Fergus mac Leiti		218		M	Conchobar	Finchad																								
Óengus Fer mBolg		218		M	Conchobar	Finchad																								
Bruachur		218		M	Conchobar	Finchad																								
Alamiach		218		M	Conchobar	Finchad																								
Three sons of Fiachna		218		M	Conchobar	Finchad																								
Conall Cernach		218		M	Conchobar	Finchad																								
Connad mac Morna		218		M	Conchobar	Finchad																								
Cú Chulainn		218		M	Finchad																			Conchobar						
Aimirgin		218		M	Conchobar	Finchad																								
Lóeg		218		M	Conchobar	Finchad																								
Léiri		218		M	Conchobar	Finchad																								
Menn mac Salcholca		218		M	Conchobar	Finchad																								
Cú Roí		218		M	Conchobar	Finchad																								
Óengus Fer Berm Umai		218		M	Conchobar	Finchad																								
Ogma Grianainech		218		M	Conchobar	Finchad																								
Brecc		218		M	Conchobar	Finchad																								
Eo mac Oircne		218		M	Conchobar	Finchad																								
Toillchenn		218		M	Conchobar	Finchad																								
Mogoll Echbél in Magna		218		M	Conchobar	Finchad																								
Conla Sáeb		218		M	Conchobar	Finchad																								
Carba		218		M	Conchobar	Finchad																								
Láegaire Buadach		218		M	Conchobar	Finchad																								
Alile Amargine		218		M	Conchobar	Finchad																								
Furbaide Fer Benn		218		M	Conchobar	Finchad																								
Seil		218		M	Conchobar	Finchad																								
Manes		218		M	Conchobar	Finchad																								
Cuscraid Menn Macha		218		M	Conchobar	Finchad																								
Fíngin		218		M	Conchobar	Finchad																								
Cremath		218		M	Conchobar	Finchad																								
Blae Fichit		218		M	Conchobar	Finchad																								
Blae Brugaich		218		M	Conchobar	Finchad																								
Fesair		218		M	Conchobar	Finchad																								
Eógan mac Durthacht		218		M	Conchobar	Finchad																								
Ord		218		M	Conchobar	Finchad																								
Seirid		218		M	Conchobar	Finchad																								
Serthe		218		M	Conchobar	Finchad																								
Oblán		218		M	Conchobar	Finchad																								
Cuilén		218		M	Conchobar	Finchad																								
Curether		218		M	Conchobar	Finchad																								
Eithbenne		218		M	Conchobar	Finchad																								
Fernél		218		M	Conchobar	Finchad																								
Finnchath		218		M	Conchobar	Finchad																								
Talgobain		218		M	Conchobar	Finchad																								
Menn mac Fer Calca		218		M	Conchobar	Finchad																								
Íroll		218		M	Conchobar	Finchad																								
Bláirige		218		M	Conchobar	Finchad																								
Ialla Ingraimme		218		M	Conchobar	Finchad																								
Ros mac Ailchatha		218		M	Conchobar	Finchad																								
Mane mac Cruinn		218		M	Conchobar	Finchad																								
Nindich mac Cruinn		218		M	Conchobar	Finchad																								
Dipsemilid		218		M	Conchobar	Finchad																								
Mál mac Rochraidi		218		M	Conchobar	Finchad																								
Muinne mac Munremair		218		M	Conchobar	Finchad																								
Fiatach Fer nDohre mac Dubthaig		218		M	Conchobar	Finchad																								
Muirne Menn		218		M	Conchobar	Finchad																								
Erc		219		M	Conchobar																			Cairbre Nia Fer	Feidelm Noíchride					
Cairbre Nia Fer		219		M	Feidelm Noíchride																									
Feidelm Noíchride		219		F																										
Chapter 56: The Vision of Dubthach																														
																														
Chapter 57: The Trance of Ailill																														
																														
Chapter 58: The March of the Companies																														
Fergus mac Róich	Fergus mac Róig	220		M	Ailill	Medb																								
Ailill		220		M	Medb																									
Medb		220		F																										
Mac Roth		220		M	Ailill	Medb	Fergus mac Róich																							
Conchobar		222		M	Sencha mac Ailella																			Cúscraid Menn Macha						
Sencha mac Ailella		222		M																										
Cúscraid Menn Macha		222	Conchobar's son	M																										
Eógan mac Durrthacht		222	King of Farney	M	Conchobar																									
Lóegaire Búadach mac Connaid meic Iliach		223		M	Conchobar																									
Munremur mac Gerrcind		223		M	Conchobar																									
Feidlimid Cilair Cétaig		224		M	Conchobar																									
Connad mac Mornai		224		M	Conchobar																									
Rochaid mac Faithemain		224		M	Ailill	Medb	Finnabair	Conchobar																						
Finnabair		224		F	Rochaid mac Faithemain																			Ailill	Medb					
Fergus mac Leiti		225		M	Conchobar																									
Amorgene mac Eccetsalaig		225		M	Conchobar																									
Celtchair mac Cuithechair		225		M	Conchobar																									
Eirrge Echbél		226		M	Conchobar																									
Fiachna		226		M	Conchobar																			Conchobar						
Fíacha		226		M	Conchobar																			Conchobar						
Rys		227		M	Conchobar																									
Imchad		227		M	Conchobar																									
Dáire		227		M	Conchobar																									
Menn mac Sálchada		227		M	Conchobar																									
Fergna mae Findchoíme		227		M	Conchobar																									
Furbaide Fer Benn		228		M	Conchobar																									
Erc		228		M																				Cairpre Nia Fer	Conchobar					
Cairpre Nia Fer		228		F	Conchobar																									
Cú Chulainn		228		M																				Conchobar						
Láeg	Láeg mac Ríangabra	229		M	Cú Chulainn																									
Chapter 59: The Muster of the Men of Ireland																														
Traigthrén		230		M	Ailill																									
Ailill		230		M																										
Three Conaires		232		M	Ailill	Traigthrén																								
Three Lesfinds		232		M	Ailill	Traigthrén																								
Three Meid Corpthe Lostes		232		M	Ailill	Traigthrén																								
Three Bodaras		232		M	Ailill	Traigthrén																								
Three Bodbs		232		M	Ailill	Traigthrén																								
Three Búageltach		232		M	Ailill	Traigthrén																								
Three Muiredachs		232		M	Ailill	Traigthrén																								
Three Láegaires		232		M	Ailill	Traigthrén																								
Three Suibnes		232		M	Ailill	Traigthrén																								
Three Échtachs		232		M	Ailill	Traigthrén																								
Three Doíl Eirrig		232		M	Ailill	Traigthrén																								
Three Damachs		232		M	Ailill	Traigthrén																								
Three Bratrúaid		232		M	Ailill	Traigthrén																								
Three Mielleths		232		M	Ailill	Traigthrén																								
Three Bresal Bodgnas		232		M	Ailill	Traigthrén																								
Three Amalgaids		232		M	Ailill	Traigthrén																								
Three Fiachras		232		M	Ailill	Traigthrén																								
Three Nechtans		232		M	Ailill	Traigthrén																								
Three Mac Amras		232		M	Ailill	Traigthrén																								
Three Ruirechs		232		M	Ailill	Traigthrén																								
Three Bruchars		232		M	Ailill	Traigthrén																								
Three Conalls		232		M	Ailill	Traigthrén																								
Three Fiacs		232		M	Ailill	Traigthrén																								
Three Cairbres		232		M	Ailill	Traigthrén																								
Three Mane Milscoths		232		M	Ailill	Traigthrén																								
Three Descertachs		232		M	Ailill	Traigthrén																								
Three Fintans		232		M	Ailill	Traigthrén																								
Three Rathachs		232		M	Ailill	Traigthrén																								
Three Eterscéls		232		M	Ailill	Traigthrén																								
Three Guaires		232		M	Ailill	Traigthrén																								
Three Aeds		232		M	Ailill	Traigthrén																								
Three Mongachs		232		M	Ailill	Traigthrén																								
Three Dúadaid Áines		232		M	Ailill	Traigthrén																								
Three Gairb Glunnaidis		232		M	Ailill	Traigthrén																								
Three Deiscirt Uagas		232		M	Ailill	Traigthrén																								
Three Lethluind Lintis		232		M	Ailill	Traigthrén																								
Three Coinchind Shiles		232		M	Ailill	Traigthrén																								
Three Dauich		232		M	Ailill	Traigthrén																								
Three Celtchairs		232		M	Ailill	Traigthrén																								
Three Coscrachs		232		M	Ailill	Traigthrén																								
Three Barrchais		232		M	Ailill	Traigthrén																								
Three Dáires		232		M	Ailill	Traigthrén																								
Three Arts from Ard Ladrann		232		M	Ailill	Traigthrén																								
Three Muiredachs		232		M	Ailill	Traigthrén																								
Three Congbaidis		232		M	Ailill	Traigthrén																								
Three Morda Mosads		232		M	Ailill	Traigthrén																								
Three Roirs		232		M	Ailill	Traigthrén																								
Three Ánrads		232		M	Ailill	Traigthrén																								
Three Eterscéls		232		M	Ailill	Traigthrén																								
Three Galgaidi Goains		232		M	Ailill	Traigthrén																								
Three Feradaig Fholtchais		232		M	Ailill	Traigthrén																								
Three Feidmnig Rotails		232		M	Ailill	Traigthrén																								
Three Scáil Sobails		232		M	Ailill	Traigthrén																								
Three Ailill Uaitis		232		M	Ailill	Traigthrén																								
Three Gortaig Granaiscs		232		M	Ailill	Traigthrén																								
Three Mesaig Maethlas		232		M	Ailill	Traigthrén																								
Three Uilleiths		232		M	Ailill	Traigthrén																								
Three Corbs		232		M	Ailill	Traigthrén																								
Three Arts from Ard		232		M	Ailill	Traigthrén																								
Three Foimdechs		232		M	Ailill	Traigthrén																								
Three Illands		232		M	Ailill	Traigthrén																								
Three Sochaides		232		M	Ailill	Traigthrén																								
Three Brónachs		232		M	Ailill	Traigthrén																								
Three Mongachs		232		M	Ailill	Traigthrén																								
Three Mochmaidnes		232		M	Ailill	Traigthrén																								
Three Tigemmas		232		M	Ailill	Traigthrén																								
Three Échtachs		232		M	Ailill	Traigthrén																								
Three Cormacs of Uiscre		232		M	Ailill	Traigthrén																								
Three Odars		232		M	Ailill	Traigthrén																								
Three Ruis Ruscaes		232		M	Ailill	Traigthrén																								
Three Ferad Finds		232		M	Ailill	Traigthrén																								
Three Athchuirp Tulchas		232		M	Ailill	Traigthrén																								
Three Tuathail Tannis		232		M	Ailill	Traigthrén																								
Three Maccáech Femrag		232		M	Ailill	Traigthrén																								
Three Láegaires from Berramain		232		M	Ailill	Traigthrén																								
Three Fidaig Saigthis		232		M	Ailill	Traigthrén																								
Three Cormac Cúanachs		232		M	Ailill	Traigthrén																								
Three Cairbre Luingis		232		M	Ailill	Traigthrén																								
Three Odar Conchobairs		232		M	Ailill	Traigthrén																								
Three Glais meic Cathbads		232		M	Ailill	Traigthrén																								
Three Duib Drúads		232		M	Ailill	Traigthrén																								
Three Airrig Cluichiurs		232		M	Ailill	Traigthrén																								
Three Laitne Luigeds		232		M	Ailill	Traigthrén																								
Three Conchobar Collsens		232		M	Ailill	Traigthrén																								
Three Elair Deiuais		232		M	Ailill	Traigthrén																								
Three Fiadail Duinergins		232		M	Ailill	Traigthrén																								
Three Airig Inse Uans		232		M	Ailill	Traigthrén																								
Three Níths		232		M	Ailill	Traigthrén																								
Three Óengus Uisces		232		M	Ailill	Traigthrén																								
Three Fiach Fema nImbais		232		M	Ailill	Traigthrén																								
Three Doms		232		M	Ailill	Traigthrén																								
Three Bailcbroindis		232		M	Ailill	Traigthrén																								
Three Cais Cuiles		232		M	Ailill	Traigthrén																								
Three Tréns		232		M	Ailill	Traigthrén																								
Three Sruthmars		232		M	Ailill	Traigthrén																								
Three Glonnmars		232		M	Ailill	Traigthrén																								
Three Dornmars		232		M	Ailill	Traigthrén																								
Three Glaisdergs		232		M	Ailill	Traigthrén																								
Three Tigirn Taince		232		M	Ailill	Traigthrén																								
Cú Chulainn		232		M											Ailill	Medb								Fergus mac Róich						
Láeg		232		M	Cú Chulainn																									
Óen		233	Conall Cernach's chariteer	M	Conall Cernach																									
Conall Cernach		233		M																										
Medb		233		F	Ailill																									
Fergus mac Róich		233		M	Ailill	Medb																								
Badb		234		M	Bé Néit	Mémain																								
Bé Néit		234		M	Mémain																									
Mémain		234		M																										
Conchobar		234		M											Ailill	Medb	Fergus mac Róich							Cú Chulainn						
Cormac		235		M	Fergus mac Róich																			Conchobar						
Bricriu Nemthenga		237	Trampelled by bull	M											Donn Cúailnge															
Donn Cúailnge		237		M											Finnbennach															
Finnbennach		237		M																										
Dáire		237		M	Donn Cúailnge																									
