Character	Alternate Name	Page	Role	Gender	Friendly										Hostile									Familial						
Fergus mac Róich	Fergus mac Róig	209		M	Ailill	Medb																								
Chapter 51: The Humorous Fight of Iliach																														
Lóegaire Búadach		215		M	Dócha mac Mágach																			Iliach						
Connad Buide meic Iliach		215		M																				Lóegaire Búadach	Iliach					
Iliach		215		M											Dócha mac Mágach															
Dócha mac Mágach		215		M																										
Chapter 52: The Missile-throwing of the Charioteers																														
																														
Chapter 53: The Trance of Aimirgin																														
Cú Roí mac Dáire	Cú Raí mac Dáire	216		M	Aimirgin										Cú Chulainn									Conall Cernach						
Cú Chulainn		216	 	M																										
Aimirgin		216		M																										
Conall Cernach		216	Cu Rois son	M																										
Chapter 54: The Repeated Warning of Súaltaim																														
Súaltaim		216		M	Conchobar																			Cú Chulainn						
Cú Chulainn		216		M																				Conchobar						
Conchobar		217		M																										
Fergus mac Róich	Fergus mac Róig	217		M	Ailill	Medb																								
Ailill		217		M	Medb																									
Medb		217		F																										
Chapter 55: The Muster of the Ulstermen																														
Finchad		218		M																										
Conchobar		218		M																										
Group of Warriors Gathered to fight alongside Conchobar in the Tain		218		M	Conchobar	Finchad																								
Erc		219		M	Conchobar																			Cairbre Nia Fer	Feidelm Noíchride					
Cairbre Nia Fer	Cairpre Nia Fer	219		M	Feidelm Noíchride																									
Feidelm Noíchride		219		F																										
Chapter 56: The Vision of Dubthach																														
																														
Chapter 57: The Trance of Ailill																														
																														
Chapter 58: The March of the Companies																														
Fergus mac Róich	Fergus mac Róig	220		M	Ailill	Medb																								
Ailill		220		M	Medb																									
Medb		220		F																										
Mac Roth		220		M	Ailill	Medb	Fergus mac Róich																							
Conchobar		222		M	Sencha mac Ailella																			Cúscraid Menn Macha						
Sencha mac Ailella		222		M																										
Cúscraid Menn Macha		222	Conchobar's son	M																										
Eógan mac Durrthacht		222	King of Farney	M	Conchobar																									
Lóegaire Búadach mac Connaid meic Iliach		223		M	Conchobar																									
Munremar mac Gerrcinn	Munremur mac Gerrcind	223		M	Conchobar																									
Feidlimid Cilair Cétaig		224		M	Conchobar																									
Connad mac Mornai		224		M	Conchobar																									
Rochad mac Fathemain	Rochaid mac Faithemain	224		M	Ailill	Medb	Finnabair	Conchobar																						
Finnabair		224		F	Rochad mac Fathemain																			Ailill	Medb					
Fergus mac Leiti		225		M	Conchobar																									
Amorgene mac Eccetsalaig		225		M	Conchobar																									
Celtchair mac Cuithechair		225		M	Conchobar																									
Eirrge Echbél		226		M	Conchobar																									
Fiachna		226		M	Conchobar																			Conchobar						
Fíacha		226		M	Conchobar																			Conchobar						
Rys		227		M	Conchobar																									
Imchad		227		M	Conchobar																									
Dáire		227		M	Conchobar																									
Menn mac Sálchada		227		M	Conchobar																									
Fergna mae Findchoíme		227		M	Conchobar																									
Furbaide Fer Benn		228		M	Conchobar																									
Erc		228		M																				Cairpre Nia Fer	Conchobar					
Cairpre Nia Fer		228		F	Conchobar																									
Cú Chulainn		228		M																				Conchobar						
Láeg	Láeg mac Ríangabra	229		M	Cú Chulainn																									
Chapter 59: The Muster of the Men of Ireland																														
Traigthrén		230		M	Ailill																									
Ailill		230		M																										
Group of Warriors sent to fight alongside Ailill and Medb in the Tain		232		M	Ailill	Traigthrén																								
Cú Chulainn		232		M											Ailill	Medb								Fergus mac Róich						
Láeg		232		M	Cú Chulainn																									
Óen		233	Conall Cernach's chariteer	M	Conall Cernach																									
Conall Cernach		233		M																										
Medb		233		F	Ailill																									
Fergus mac Róich		233		M	Ailill	Medb																								
Badb		234		M	Bé Néit	Mémain																								
Bé Néit		234		M	Mémain																									
Mémain		234		M																										
Conchobar		234		M											Ailill	Medb	Fergus mac Róich							Cú Chulainn						
Cormac		235		M	Fergus mac Róich																			Conchobar						
Bricriu Nemthenga		237	Trampelled by bull	M											Donn Cúailnge															
Donn Cúailnge		237		M											Finnbennach															
Finnbennach	Findbenn	237		M																										
Dáire		237		M	Donn Cúailnge																									
